								Max		Min		Average
94 99 96 74 56 33 65 89 87 85  99.0		33.0		77.8
67 58 86 95 47 86 79 64 76 45  95.0		45.0		70.3
95 97 94 87 67 84 99 45 99 87  99.0		45.0		85.4
43 23 34 77 64 35 89 56 75 85  89.0		23.0		58.1
84 93 64 57 89 99 74 64 75 91  99.0		57.0		79.0
84 93 64 57 70 99 74 63.5 75 91  99.0		57.0		77.05
67 58 86 95 47 86 79 64 76 45  95.0		45.0		70.3
43 23 34 77 64 35 89 56 75 85  89.0		23.0		58.1
94 99 96 74 56 33 65 89 87 85  99.0		33.0		77.8
87 78 86 95 47 86 79 64.75 76 45  95.0		45.0		74.375
43 86 34 77 64 35 89 56 75 85  89.0		34.0		64.4
74 93 64 57 70 99 74 67 75 91  99.0		57.0		76.4
94 99 96 74 56 78 65 89 87 85  99.0		56.0		82.3
80 75 96 74 56 33.5 65 89 87 85  96.0		33.5		74.05
